NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
GRM1	1	GRM1	
PITPNC1	1	PITPNC1	
CA2	1	CA2	
GRM6	1	GRM6	
CA6	1	CA6	
MYBL2	1	MYBL2	
MYBL1	1	MYBL1	
SUN2	1	SUN2	
SUN1	1	SUN1	
ATP6AP1	1	ATP6AP1	
CAD	1	CAD	
ATP6AP2	1	ATP6AP2	
HUNK	1	HUNK	
ELF1	1	ELF1	
ELF2	1	ELF2	
GFOD1	1	GFOD1	
ELF3	1	ELF3	
CH17-340M24.3	1	CH17-340M24.3	
ELF4	1	ELF4	
CAT	1	CAT	
GFOD2	1	GFOD2	
ZMYND10	1	ZMYND10	
KCCAT198	1	KCCAT198	
ZMYND11	1	ZMYND11	
ZMYND12	1	ZMYND12	
PLEC	1	PLEC	
RRN3	1	RRN3	
DAPL1	1	DAPL1	
CBL	1	CBL	
CBS	1	CBS	
TBX20	1	TBX20	
RRM1	1	RRM1	
RRM2	1	RRM2	
SUOX	1	SUOX	
TBX19	1	TBX19	
HS3ST4	1	HS3ST4	
TBX18	1	TBX18	
HS3ST2	1	HS3ST2	
CD4	1	CD4	
CCS	1	CCS	
NOPCHAP1	1	C12orf45	
CD6	1	CD6	
CD5	1	CD5	
CD9	1	CD9	
VPS29	1	VPS29	
CLEC10A	1	CLEC10A	
RRP1	1	RRP1	
FRMPD2	1	FRMPD2	
ELK1	1	ELK1	
RRP8	1	RRP8	
ELK3	1	ELK3	
RRP9	1	RRP9	
ELK4	1	ELK4	
ALCAM	1	ALCAM	
VPS35	1	VPS35	
VPS36	1	VPS36	
VPS39	1	VPS39	
VPS18	1	VPS18	
CLEC11A	1	CLEC11A	
HUS1	1	HUS1	
CEL	1	CEL	
NUP93	1	NUP93	
BCAN	1	BCAN	
SCN10A	1	SCN10A	
BCAM	1	BCAM	
HECW2	1	HECW2	
TARS2	1	TARS2	
SRFBP1	1	SRFBP1	
DLX6-AS1	1	DLX6-AS1	
NUP98	1	NUP98	
TARS3	1	TARS3	
TARS1	1	TARS1	
VPS25	1	VPS25	
VPS28	1	VPS28	
CFB	1	CFB	
RNF216P1	1	RNF216P1	
CFD	1	CFD	
METTL25B	1	RRNAD1	
CFP	1	CFP	
IRF2-DT	1	IRF2-DT	
RRP7A	1	RRP7A	
NUP85	1	NUP85	
ST3GAL4	1	ST3GAL4	
VPS11	1	VPS11	
RRS1	1	RRS1	
ST3GAL5	1	ST3GAL5	
ST3GAL6	1	ST3GAL6	
NUP88	1	NUP88	
ST3GAL1	1	ST3GAL1	
ST3GAL2	1	ST3GAL2	
ST3GAL3	1	ST3GAL3	
VPS16	1	VPS16	
C3orf18	1	C3orf18	
PLK4	1	PLK4	
LRRC37A3	1	LRRC37A3	
ARL14EP	1	ARL14EP	
PLK3	1	PLK3	
LRRC37A2	1	LRRC37A2	
APOOL	1	APOOL	
GTF2IRD2	1	GTF2IRD2	
PLK2	1	PLK2	
PLK1	1	PLK1	
KLF3-AS1	1	KLF3-AS1	
CGN	1	CGN	
C3orf14	1	C3orf14	
MCAT	1	MCAT	
ELL2	1	ELL2	
ZNF559-ZNF177	1	ZNF559-ZNF177	
GTF2IRD1	1	GTF2IRD1	
MOCS2	1	MOCS2	
MOCS3	1	MOCS3	
STON1	1	STON1	
CHM	1	CHM	
STON2	1	STON2	
MCEE	1	MCEE	
FGD5-AS1	1	FGD5-AS1	
